timestamp,platform,agent,symbol,action,confidence,trend,risk_level,entry,stop_loss,take_profit,reason
2026-06-13 10:35:40,MT4,btc-agent,BTCUSD,BUY,0.70,bullish,medium,63838.0,63400.0,63863.97,"EMA20 > EMA50 (alcista), MACD positivo y precio cerca de resistencia. Bollinger en zona superior con consolidación. Stop 1.5×ATR detrás de soporte clave."
2026-06-13 10:37:40,MT4,btc-agent,BTCUSD,BUY,0.80,bullish,medium,63884.01,63457.78,64523.36,"EMA20 > EMA50 (alcista), MACD histograma positivo y precio cerca de la banda superior de Bollinger"
2026-06-13 10:40:04,MT4,btc-agent,BTCUSD,HOLD,0.40,bullish,medium,63873.89,63447.66,63927.99,"EMA20 > EMA50 y MACD bullish indican tendencia alcista, pero RSI neutral y ATR elevado sugieren volatilidad. El precio está cerca de resistencias pero el ratio riesgo/beneficio (1:0.12) no cumple con el mínimo requerido."
2026-06-13 10:42:25,MT4,btc-agent,BTCUSD,BUY,0.65,bullish,medium,63885.99,63426.83,64574.73,"EMA20 > EMA50 (alcista), MACD histograma positivo y precio encima de EMA20. RSI neutral, Bollinger en 80% del rango (no extremo). Stop en soporte cercano, take profit 1.5x riesgo."
2026-06-13 10:44:52,MT4,btc-agent,BTCUSD,HOLD,0.15,sideways,low,0.0,0.0,0.0,"Falta información clave (precio actual, indicadores técnicos, soportes/resistencias). Noticias muestran volatilidad especulativa pero sin confluencia técnica clara. Posiciones abiertas con P/L mixto indican falta de dirección definida."
2026-06-13 10:47:05,MT4,btc-agent,BTCUSD,HOLD,0.30,sideways,low,0.0,0.0,0.0,"Falta datos técnicos clave (RSI, EMA, MACD, etc.) para confirmar confluencia. Noticias mixtas sobre volatilidad y sentimiento especulativo, pero sin tendencia clara en H1. Se requiere más información para tomar decisión."
2026-06-13 10:49:21,MT4,btc-agent,BTCUSD,BUY,0.70,bullish,medium,63866.01,63440.0,63927.99,"EMA20 > EMA50 (alcista), MACD positivo y precio cerca de resistencia. Bollinger en zona superior con consolidación alcista. RSI neutral, no sobrecomprado."
2026-06-13 10:51:43,MT4,btc-agent,BTCUSD,HOLD,0.20,sideways,low,0.0,0.0,0.0,"No hay datos técnicos suficientes para confirmar tendencia. Los titulares muestran sentimiento positivo pero sin confluencia de indicadores. Las posiciones abiertas son cortas pero el precio actual está por encima de los niveles de entrada, lo que genera incertidumbre sin confirmación técnica."
2026-06-13 10:54:12,MT4,btc-agent,BTCUSD,HOLD,0.45,sideways,medium,0.0,0.0,0.0,"Conflicto entre MACD (bajista) y EMA (alcista), precio cerca de resistencia sin confluencia suficiente. ATR elevado requiere stops amplios, pero falta confirmación de tendencia clara."
2026-06-13 11:01:26,MT4,btc-agent,BTCUSD,BUY,0.80,bullish,medium,63806.01,63400.0,63810.0,"EMA20 > EMA50 y precio encima de EMA20 (alcista), MACD positivo y histograma alcista. Precio cerca de resistencia 63810.00 con confluencia de indicadores."
